type,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,commission,net_pnl,equity,peak,drawdown
Short,09-12-2024 00:45,10-12-2024 17:15,99708.6,95316,0.045749218,200.958016,1.784444597,199.1735714,9322.354575,10201.79977,-0.086204907
Long,10-12-2024 17:15,11-12-2024 17:15,95316,100902,0.048902359,273.1685795,1.919104631,271.2494749,9593.60405,10201.79977,-0.059616512
Short,11-12-2024 17:15,18-12-2024 21:45,100902,101388.1,0.047539217,-23.10881315,1.923342573,-25.03215572,9568.571894,10201.79977,-0.062070212
Long,18-12-2024 21:45,21-12-2024 06:45,101388.1,98452,0.047187845,-138.5482317,1.886004732,-140.4342364,9428.137658,10201.79977,-0.075835846
Short,21-12-2024 06:45,22-12-2024 06:00,98452,96065.3,0.0478819,114.279731,1.862771585,112.4169594,9540.554617,10201.79977,-0.064816519
Long,22-12-2024 06:00,24-12-2024 16:30,96065.3,98432.2,0.049656612,117.5322344,1.93161737,115.6006171,9656.155234,10201.79977,-0.053485125
Short,24-12-2024 16:30,26-12-2024 09:45,98432.2,95675,0.049049779,135.2400496,1.904183037,133.3358665,9789.491101,10201.79977,-0.040415287
Long,26-12-2024 09:45,28-12-2024 18:00,95675,94864.9,0.051160131,-41.44482227,1.949609256,-43.39443152,9746.096669,10201.79977,-0.044668893
Short,28-12-2024 18:00,29-12-2024 15:45,94864.9,94500,0.051368297,18.74429148,1.945470476,16.79882101,9762.89549,10201.79977,-0.04302224
Long,29-12-2024 15:45,31-12-2024 14:15,94500,95840.6,0.051655532,69.24940579,1.966428979,67.28297681,9830.178467,10201.79977,-0.036427034
Short,31-12-2024 14:15,01-01-2025 10:30,95840.6,93253.6,0.051283999,132.6717054,1.939501352,130.732204,9960.910671,10201.79977,-0.023612412
Long,01-01-2025 10:30,03-01-2025 17:15,93253.6,97843.2,0.053407647,245.1197359,2.041206081,243.0785299,10203.9892,10203.9892,0
Short,03-01-2025 17:15,05-01-2025 11:15,97843.2,97639.5,0.052144601,10.62185517,2.038673469,8.583181704,10212.57238,10212.57238,0
Long,05-01-2025 11:15,06-01-2025 17:15,97639.5,101912.7,0.052297341,223.476996,2.087209876,221.3897861,10433.96217,10433.96217,0
Short,06-01-2025 17:15,07-01-2025 12:45,101912.7,100820.4,0.051190687,55.91558695,2.075609316,53.83997764,10487.80215,10487.80215,0
Long,07-01-2025 12:45,15-01-2025 15:45,100820.4,99230.4,0.052012302,-82.69955987,2.081020517,-84.78058039,10403.02157,10487.80215,-0.008083732
Short,15-01-2025 15:45,16-01-2025 15:45,99230.4,98267.8,0.052418521,50.45806809,2.0705127,48.38755539,10451.40912,10487.80215,-0.003470034
Long,16-01-2025 15:45,17-01-2025 17:15,98267.8,104790.3,0.053178198,346.8547988,2.159652784,344.695146,10796.10427,10796.10427,0
Short,17-01-2025 17:15,20-01-2025 00:45,104790.3,100630.1,0.051512899,214.3039622,2.116360061,212.1876021,11008.29187,11008.29187,0
Long,20-01-2025 00:45,23-01-2025 17:15,100630.1,104714.2,0.054696815,223.387261,2.246335826,221.1409252,11229.43279,11229.43279,0
Short,23-01-2025 17:15,27-01-2025 02:15,104714.2,101466.9,0.053619436,174.1183961,2.21106288,171.9073333,11401.34013,11401.34013,0
Long,27-01-2025 02:15,29-01-2025 21:45,101466.9,103859.8,0.056182559,134.4392447,2.307155875,132.1320888,11533.47222,11533.47222,0
Short,29-01-2025 21:45,31-01-2025 21:00,103859.8,101567.6,0.055524237,127.2726551,2.281239912,124.9914152,11658.46363,11658.46363,0
